49:1.23103844 50:0.98553158 51:0.90350789 52:1.06468570 53:0.94657366 54:1.01616578 55:1.29754175 56:1.04106649 57:1.02735065 58:1.11566187 59:1.05116698 60:1.09269974 61:1.40781651 62:1.20430004 63:1.17661080 64:1.26143939 65:1.22978093 66:1.29492033 67:1.54865629 68:1.42077094 69:1.39406451 70:1.37860324 71:1.48276034 72:1.52516862
49:0.98131951 50:0.59637045 51:0.55810215 52:0.71961319 53:0.58170487 54:0.76946047 55:0.77166318 56:0.45097240 57:0.38795531 58:0.48054129 59:0.38908132 60:0.59214946 61:0.66520585 62:0.39674660 63:0.34391638 64:0.40031751 65:0.33846146 66:0.54752079 67:0.57428430 68:0.40262722 69:0.36207853 70:0.36590050 71:0.35950469 72:0.51120344
49:1.52520768 50:0.79602795 51:0.37467613 52:0.51092826 53:0.35452905 54:0.43821347 55:1.21419423 56:0.57843184 57:0.30625497 58:0.41954570 59:0.30954855 60:0.38116021 61:1.02933014 62:0.60106164 63:0.40390793 64:0.46260212 65:0.41071349 66:0.45479468 67:1.16126131 68:0.87309303 69:0.67214173 70:0.62821622 71:0.67948481 72:0.78074406
49:1.33644212 50:1.17926113 51:1.10355019 52:1.17928478 53:1.08554756 54:1.12817604 55:1.37611041 56:1.31170001 57:1.24638786 58:1.30612768 59:1.30448880 60:1.30554683 61:1.48670436 62:1.37219651 63:1.33000193 64:1.39251729 65:1.42915176 66:1.48503320 67:1.31427374 68:1.27480434 69:1.23801372 70:1.24387859 71:1.41721219 72:1.48102536
49:1.37527468 50:1.07442978 51:0.97756905 52:1.14538623 53:1.32297884 54:1.29706158 55:1.20421105 56:0.87401370 57:0.81325911 58:0.92259164 59:1.09725653 60:1.10921319 61:1.01853408 62:0.82196077 63:0.76654234 64:0.87103458 65:0.98694154 66:1.02042443 67:0.81876750 68:0.74716086 69:0.72140428 70:0.75083397 71:0.92019996 72:0.90985061
49:1.19589916 50:1.25393499 51:1.26101962 52:1.37900706 53:1.25382710 54:1.10362574 55:1.12971654 56:1.10553860 57:1.21080484 58:1.28529524 59:1.15227065 60:1.12139710 61:0.92399580 62:0.94025026 63:1.00547399 64:1.03182292 65:0.97581400 66:0.91207923 67:0.62137118 68:0.68803713 69:0.72345890 70:0.69704457 71:0.67933315 72:0.64035800
49:0.80740403 50:0.44638243 51:0.48518398 52:0.64724239 53:0.42564961 54:0.58821783 55:0.58160090 56:0.36780760 57:0.38444723 58:0.41569475 59:0.31768523 60:0.41199122 61:0.44944988 62:0.33135669 63:0.30920955 64:0.33616561 65:0.28109116 66:0.32672640 67:0.34774380 68:0.26494654 69:0.23704172 70:0.25266390 71:0.24400949 72:0.28058315
49:1.05604607 50:0.81493833 51:0.87672082 52:1.29180322 53:0.96978837 54:0.92021529 55:1.07792935 56:0.94920538 57:1.02261220 58:1.37288428 59:1.18519833 60:1.09913284 61:1.03924813 62:0.97788145 63:1.11924630 64:1.56573311 65:1.35500245 66:1.11990717 67:0.91257975 68:0.94052378 69:1.09861457 70:1.53467115 71:1.34820245 72:1.04446584
1:0.85086831 2:0.59597878 3:0.45107527 4:0.58504056 5:0.43899787 6:0.47151792 7:0.76707334 8:0.58428565 9:0.51442251 10:0.61736795 11:0.49807040 12:0.53876013 13:0.91134362 14:0.82196276 15:0.75675811 16:0.81847238 17:0.75924539 18:0.78100671 19:1.33233586 20:1.29645992 21:1.25848533 22:1.29300426 23:1.25972095 24:1.26464315 25:0.98586401 26:0.78610693 27:0.57102973 28:0.72992072 29:0.55684550 30:0.58847124 31:0.85909064 32:0.72050041 33:0.59158257 34:0.69702257 35:0.57962207 36:0.65257094 37:0.94741368 38:0.85472931 39:0.76656744 40:0.85018889 41:0.75923387 42:0.79828267 43:1.25581976 44:1.28185311 45:1.20392703 46:1.19301889 47:1.17822991 48:1.23511522 49:1.10611625 50:0.91952310 51:0.72660062 52:0.96044169 53:0.72170991 54:0.70899662 55:0.96230390 56:0.82053107 57:0.70239866 58:0.78555583 59:0.63351280 60:0.65503533 61:0.89864415 62:0.79453667 63:0.68569820 64:0.73989588 65:0.63396576 66:0.68962340 67:0.96480045 68:0.94498388 69:0.85059168 70:0.83422247 71:0.79881136 72:0.86781614
1:0.44151467 2:0.31215288 3:0.39117201 4:0.66613244 5:0.33282468 6:0.30515666 7:0.34993845 8:0.27916874 9:0.31055899 10:0.48659771 11:0.27807099 12:0.26645433 13:0.38124283 14:0.34449856 15:0.36002558 16:0.45055658 17:0.35460144 18:0.33513631 19:0.38156911 20:0.34962289 21:0.36043285 22:0.43867245 23:0.36098970 24:0.34643303 25:0.37261252 26:0.29870351 27:0.26086625 28:0.42496267 29:0.23922321 30:0.20310860 31:0.29580811 32:0.24538672 33:0.24596916 34:0.38136646 35:0.23093074 36:0.19709860 37:0.29496892 38:0.27196583 39:0.26463869 40:0.36377397 41:0.27348583 42:0.24548430 43:0.29723119 44:0.29997193 45:0.30813907 46:0.36057679 47:0.29195791 48:0.27215493 49:0.53781220 50:0.49530835 51:0.39253192 52:0.63226085 53:0.37381689 54:0.27996578 55:0.31186003 56:0.28558674 57:0.25001764 58:0.44598676 59:0.25233134 60:0.18022329 61:0.25771430 62:0.24650479 63:0.20744910 64:0.33878924 65:0.19600348 66:0.15893277 67:0.22774471 68:0.23663728 69:0.22150659 70:0.27244315 71:0.18967004 72:0.17405254
1:1.05474364 2:0.72009468 3:0.86694702 4:1.23478963 5:0.71310153 6:0.64263772 7:0.66114462 8:0.48350226 9:0.57305313 10:0.75877366 11:0.35865708 12:0.32463713 13:0.43555658 14:0.27329459 15:0.31778957 16:0.48807770 17:0.25931497 18:0.26180351 19:0.40319346 20:0.28029158 21:0.31219206 22:0.43102959 23:0.28016247 24:0.27282442 25:0.28794564 26:0.30330764 27:0.39891902 28:0.41139352 29:0.29974541 30:0.24917035 31:0.27572008 32:0.29172200 33:0.34853980 34:0.38505374 35:0.27394222 36:0.27148722 37:0.30303905 38:0.31704166 39:0.34240840 40:0.36842346 41:0.26834780 42:0.27756083 43:0.42780921 44:0.36858752 45:0.40832445 46:0.47110049 47:0.40263446 48:0.37002163 49:1.49194447 50:1.14630266 51:1.44198631 52:1.93054512 53:1.11915361 54:0.95219280 55:0.82607321 56:0.63204067 57:0.89473459 58:1.12222032 59:0.44701583 60:0.36983867 61:0.43882600 62:0.33319147 63:0.44904318 64:0.62819115 65:0.22588779 66:0.18933790 67:0.25677106 68:0.16002814 69:0.21506550 70:0.33771574 71:0.13716190 72:0.11698123
49:0.39910622 50:0.29058487 51:0.41973209 52:0.47765216 53:0.31169007 54:0.34534040 55:0.27597963 56:0.21807424 57:0.27652980 58:0.27433594 59:0.20497452 60:0.22520221 61:0.19637661 62:0.15747379 63:0.21062175 64:0.19661845 65:0.14508392 66:0.17510687 67:0.15234620 68:0.14246517 69:0.17330753 70:0.15380049 71:0.13200199 72:0.14006584
1:0.44914699 2:0.26851990 3:0.26957937 4:0.51029499 5:0.25072026 6:0.26520555 7:0.36703811 8:0.27756692 9:0.28096795 10:0.47581653 11:0.28728023 12:0.26771232 13:0.41720969 14:0.35844022 15:0.35509115 16:0.45888525 17:0.34799115 18:0.35184450 19:0.41072060 20:0.37276692 21:0.37511812 22:0.45215092 23:0.37092319 24:0.36705169 25:0.43286708 26:0.34198566 27:0.32972038 28:0.62692821 29:0.30203476 30:0.25721612 31:0.35085660 32:0.29060277 33:0.28825632 34:0.54926018 35:0.27474443 36:0.26052953 37:0.37084074 38:0.33934156 39:0.32514280 40:0.50465394 41:0.31804118 42:0.31652671 43:0.39728986 44:0.39112744 45:0.39030657 46:0.50200731 47:0.36855981 48:0.35789725 49:0.54357857 50:0.50409972 51:0.44167490 52:0.88872399 53:0.44597419 54:0.34552050 55:0.36361342 56:0.33957214 57:0.29496349 58:0.64164359 59:0.28914550 60:0.24033943 61:0.31971194 62:0.28261507 63:0.24722139 64:0.48971878 65:0.23947028 66:0.22203448 67:0.27725551 68:0.26355626 69:0.24688363 70:0.36151095 71:0.22602522 72:0.21524230
1:0.38835940 2:0.17651816 3:0.16662642 4:0.32635935 5:0.17853900 6:0.18004472 7:0.27003595 8:0.11798632 9:0.09792409 10:0.19525435 11:0.11237908 12:0.12087252 13:0.20638002 14:0.12128942 15:0.11280931 16:0.16811627 17:0.11518465 18:0.12404579 19:0.17040720 20:0.11359054 21:0.10473767 22:0.14027186 23:0.10614651 24:0.11103125 25:0.44174475 26:0.33620082 27:0.31683250 28:0.40373006 29:0.31473436 30:0.32028132 31:0.49092582 32:0.40018997 33:0.37672916 34:0.42845190 35:0.39942734 36:0.40345161 37:0.47112344 38:0.41858479 39:0.40965573 40:0.43126569 41:0.41399970 42:0.42093976 43:0.30279690 44:0.26583322 45:0.26280469 46:0.27663481 47:0.25831790 48:0.26183327 49:0.46061158 50:0.29669473 51:0.27902227 52:0.36666554 53:0.27579209 54:0.29409844 55:0.37153678 56:0.26905755 57:0.23531141 58:0.29413252 59:0.24035316 60:0.26617280 61:0.29354883 62:0.23843753 63:0.24075444 64:0.26778327 65:0.24352012 66:0.24380276 67:0.22523506 68:0.20707761 69:0.21159614 70:0.21967485 71:0.20595734 72:0.20166582
1:1.64738019 2:1.19058664 3:0.89010614 4:1.14141675 5:0.89317895 6:1.20593600 7:1.13103864 8:0.62805279 9:0.53584334 10:0.84664117 11:0.53940151 12:0.62069152 13:0.85325092 14:0.30595131 15:0.24966972 16:0.52988737 17:0.25597133 18:0.31110871 19:0.55039254 20:0.18007033 21:0.13809871 22:0.35535383 23:0.13688840 24:0.17887774 25:0.12673838 26:0.09205208 27:0.07462110 28:0.09622677 29:0.08052451 30:0.09799452 31:0.13262660 32:0.09232162 33:0.08185352 34:0.10030786 35:0.08495959 36:0.10073653 37:0.15452597 38:0.11474977 39:0.10718279 40:0.11888037 41:0.10785106 42:0.11519962 43:0.16521349 44:0.13419089 45:0.13327367 46:0.14685193 47:0.13361247 48:0.13094928 49:1.35083276 50:0.91695954 51:0.57411786 52:0.67428646 53:0.57071666 54:0.75275799 55:1.15335162 56:0.68408533 57:0.52010044 58:0.59155699 59:0.49673365 60:0.67490931 61:0.99710668 62:0.65967071 63:0.55954272 64:0.65203289 65:0.58053630 66:0.67852146 67:0.77817703 68:0.61389772 69:0.60856045 70:0.70012398 71:0.60739915 72:0.60716404
1:0.92039516 2:0.58752180 3:0.65831487 4:0.92263335 5:0.59142917 6:0.62362686 7:0.74438498 8:0.52575721 9:0.53455689 10:0.74799080 11:0.53204333 12:0.54174986 13:0.78291377 14:0.63216473 15:0.66340378 16:0.74144975 17:0.62352846 18:0.65899749 19:0.92681700 20:0.78212972 21:0.76055292 22:0.82656272 23:0.74562119 24:0.79586594 25:0.80173951 26:0.41300361 27:0.50191458 28:0.79339836 29:0.44460851 30:0.51961481 31:0.58308840 32:0.31533836 33:0.40693499 34:0.57539533 35:0.32274130 36:0.36812957 37:0.49314099 38:0.33579672 39:0.40737497 40:0.49229384 41:0.32293810 42:0.35283250 43:0.42223989 44:0.34303115 45:0.38228933 46:0.41740054 47:0.33240310 48:0.34775696 49:0.68818288 50:0.29496808 51:0.43377612 52:0.67689816 53:0.35600505 54:0.53586193 55:0.42627440 56:0.20038037 57:0.29273558 58:0.47207799 59:0.24230591 60:0.31871368 61:0.33245614 62:0.20883241 63:0.27523436 64:0.35529324 65:0.21078500 66:0.26587014 67:0.28098117 68:0.20546524 69:0.23332056 70:0.25326212 71:0.19612815 72:0.24415277
1:0.42367472 2:0.34847761 3:0.35825893 4:0.62862888 5:0.37880016 6:0.31871122 7:0.29971032 8:0.22844008 9:0.28658344 10:0.44116535 11:0.30222037 12:0.26172655 13:0.19204536 14:0.15647638 15:0.17529842 16:0.25903743 17:0.20160254 18:0.17600738 19:0.14679509 20:0.13486421 21:0.15170203 22:0.19557755 23:0.16582728 24:0.14902778 25:0.42367472 26:0.34847761 27:0.35825893 28:0.62862888 29:0.37880016 30:0.31871122 31:0.29971032 32:0.22844008 33:0.28658344 34:0.44116535 35:0.30222037 36:0.26172655 37:0.19204536 38:0.15647638 39:0.17529842 40:0.25903743 41:0.20160254 42:0.17600738 43:0.14679509 44:0.13486421 45:0.15170203 46:0.19557755 47:0.16582728 48:0.14902778 49:0.42367472 50:0.34847761 51:0.35825893 52:0.62862888 53:0.37880016 54:0.31871122 55:0.29971032 56:0.22844008 57:0.28658344 58:0.44116535 59:0.30222037 60:0.26172655 61:0.19204536 62:0.15647638 63:0.17529842 64:0.25903743 65:0.20160254 66:0.17600738 67:0.14679509 68:0.13486421 69:0.15170203 70:0.19557755 71:0.16582728 72:0.14902778
1:0.39611969 2:0.19243138 3:0.18030629 4:0.33044277 5:0.17033025 6:0.17889662 7:0.26770349 8:0.12705343 9:0.10044575 10:0.19246974 11:0.09822650 12:0.11340044 13:0.19528004 14:0.11015712 15:0.09322842 16:0.14790696 17:0.09739954 18:0.11096557 19:0.14223153 20:0.09026774 21:0.08395191 22:0.11945660 23:0.08578992 24:0.09255376 25:0.30352140 26:0.22112923 27:0.21139439 28:0.27041231 29:0.18093948 30:0.21698717 31:0.28244160 32:0.23338041 33:0.21165358 34:0.22801936 35:0.19838341 36:0.21904853 37:0.27270952 38:0.23517434 39:0.20581701 40:0.21009406 41:0.20072218 42:0.22172883 43:0.21151201 44:0.20007031 45:0.17222099 46:0.16704816 47:0.16225276 48:0.17702664 49:0.44138825 50:0.26947158 51:0.27589688 52:0.39489326 53:0.29548149 54:0.31087742 55:0.33508972 56:0.22972341 57:0.20949176 58:0.27514708 59:0.22888623 60:0.25813319 61:0.30709324 62:0.25332424 63:0.22774598 64:0.24941955 65:0.22491829 66:0.24059966 67:0.30519503 68:0.29842431 69:0.25422659 70:0.23335110 71:0.23562212 72:0.25885769
1:0.60975239 2:0.35811010 3:0.35255138 4:0.66372408 5:0.36103240 6:0.32882028 7:0.44834151 8:0.29004950 9:0.30148859 10:0.53071723 11:0.31768270 12:0.29237985 13:0.43530715 14:0.35522718 15:0.35590747 16:0.47314168 17:0.35739118 18:0.34395859 19:0.49656456 20:0.43204918 21:0.43587889 22:0.51855448 23:0.43918778 24:0.43130035 25:0.52661117 26:0.33137966 27:0.29981089 28:0.51559451 29:0.33882185 30:0.33511613 31:0.42180700 32:0.31221169 33:0.29605266 34:0.43280137 35:0.31101212 36:0.30096661 37:0.41367871 38:0.34216595 39:0.34226362 40:0.44089466 41:0.34144792 42:0.33355783 43:0.50464051 44:0.46173688 45:0.46438508 46:0.53904220 47:0.46528340 48:0.44930825 49:0.66209349 50:0.45603681 51:0.40646205 52:0.77411929 53:0.48898764 54:0.42084003 55:0.45499718 56:0.31578172 57:0.29896751 58:0.54355672 59:0.34379276 60:0.30957472 61:0.35092482 62:0.25134601 63:0.23293823 64:0.39552120 65:0.25197837 66:0.23080465 67:0.26896636 68:0.22216104 69:0.20981064 70:0.27743853 71:0.20893226 72:0.20390972
