1:0.45749360 2:0.31487317 3:0.31020629 4:0.44225106 5:0.29955413 6:0.30968999 7:0.61799099 8:0.57241843 9:0.66866305 10:1.57962505 11:0.65050166 12:0.55779564 13:1.13176727 14:1.07907367 15:1.14626327 16:2.16874456 17:1.17315080 18:1.08719034 19:2.13828909 20:2.07177515 21:2.20062638 22:3.81223710 23:2.20257563 24:2.06964022 25:0.45749360 26:0.31487317 27:0.31020629 28:0.44225106 29:0.29955413 30:0.30968999 31:0.61799099 32:0.57241843 33:0.66866305 34:1.57962505 35:0.65050166 36:0.55779564 37:1.13176727 38:1.07907367 39:1.14626327 40:2.16874456 41:1.17315080 42:1.08719034 43:2.13828909 44:2.07177515 45:2.20062638 46:3.81223710 47:2.20257563 48:2.06964022 49:0.45749360 50:0.31487317 51:0.31020629 52:0.44225106 53:0.29955413 54:0.30968999 55:0.61799099 56:0.57241843 57:0.66866305 58:1.57962505 59:0.65050166 60:0.55779564 61:1.13176727 62:1.07907367 63:1.14626327 64:2.16874456 65:1.17315080 66:1.08719034 67:2.13828909 68:2.07177515 69:2.20062638 70:3.81223710 71:2.20257563 72:2.06964022
1:0.52121019 2:0.29140486 3:0.25866698 4:0.36602665 5:0.24069314 6:0.27149778 7:0.62571811 8:0.48427379 9:0.88583594 10:1.82443347 11:0.85834056 12:0.48928927 13:0.97649607 14:0.88833464 15:1.11679455 16:2.08740826 17:1.14031923 18:0.89831195 19:1.70099728 20:1.72865369 21:2.03426109 22:4.62862795 23:2.05019831 24:1.74389673 25:0.52121019 26:0.29140486 27:0.25866698 28:0.36602665 29:0.24069314 30:0.27149778 31:0.62571811 32:0.48427379 33:0.88583594 34:1.82443347 35:0.85834056 36:0.48928927 37:0.97649607 38:0.88833464 39:1.11679455 40:2.08740826 41:1.14031923 42:0.89831195 43:1.70099728 44:1.72865369 45:2.03426109 46:4.62862795 47:2.05019831 48:1.74389673 49:0.52121019 50:0.29140486 51:0.25866698 52:0.36602665 53:0.24069314 54:0.27149778 55:0.62571811 56:0.48427379 57:0.88583594 58:1.82443347 59:0.85834056 60:0.48928927 61:0.97649607 62:0.88833464 63:1.11679455 64:2.08740826 65:1.14031923 66:0.89831195 67:1.70099728 68:1.72865369 69:2.03426109 70:4.62862795 71:2.05019831 72:1.74389673
1:0.43844723 2:0.29635842 3:0.27259043 4:0.39481638 5:0.28062995 6:0.30085770 7:0.64373681 8:0.50379693 9:0.67685236 10:1.57887768 11:0.66653559 12:0.50843418 13:1.10246857 14:0.97915665 15:1.10699338 16:2.49410728 17:1.09249877 18:0.98529071 19:2.04811634 20:1.94870191 21:2.09098390 22:4.07210929 23:2.07388310 24:1.95214614 25:0.43844723 26:0.29635842 27:0.27259043 28:0.39481638 29:0.28062995 30:0.30085770 31:0.64373681 32:0.50379693 33:0.67685236 34:1.57887768 35:0.66653559 36:0.50843418 37:1.10246857 38:0.97915665 39:1.10699338 40:2.49410728 41:1.09249877 42:0.98529071 43:2.04811634 44:1.94870191 45:2.09098390 46:4.07210929 47:2.07388310 48:1.95214614 49:0.43844723 50:0.29635842 51:0.27259043 52:0.39481638 53:0.28062995 54:0.30085770 55:0.64373681 56:0.50379693 57:0.67685236 58:1.57887768 59:0.66653559 60:0.50843418 61:1.10246857 62:0.97915665 63:1.10699338 64:2.49410728 65:1.09249877 66:0.98529071 67:2.04811634 68:1.94870191 69:2.09098390 70:4.07210929 71:2.07388310 72:1.95214614
1:0.75564257 2:0.49026102 3:0.37778107 4:0.46389538 5:0.38475966 6:0.45549536 7:1.03034800 8:0.67818243 9:0.68120843 10:1.55300764 11:0.68548861 12:0.67693740 13:1.55735419 14:1.12268082 15:1.11723665 16:1.99910479 17:1.10132688 18:1.12986936 19:2.66299013 20:2.04007675 21:2.12591530 22:3.51366310 23:2.12078511 24:2.03693336 25:0.75564257 26:0.49026102 27:0.37778107 28:0.46389538 29:0.38475966 30:0.45549536 31:1.03034800 32:0.67818243 33:0.68120843 34:1.55300764 35:0.68548861 36:0.67693740 37:1.55735419 38:1.12268082 39:1.11723665 40:1.99910479 41:1.10132688 42:1.12986936 43:2.66299013 44:2.04007675 45:2.12591530 46:3.51366310 47:2.12078511 48:2.03693336 49:0.75564257 50:0.49026102 51:0.37778107 52:0.46389538 53:0.38475966 54:0.45549536 55:1.03034800 56:0.67818243 57:0.68120843 58:1.55300764 59:0.68548861 60:0.67693740 61:1.55735419 62:1.12268082 63:1.11723665 64:1.99910479 65:1.10132688 66:1.12986936 67:2.66299013 68:2.04007675 69:2.12591530 70:3.51366310 71:2.12078511 72:2.03693336
1:0.79427173 2:0.39348496 3:0.30781443 4:0.38079916 5:0.32299298 6:0.42764185 7:0.83628533 8:0.57760339 9:0.77333890 10:1.53807989 11:0.76530303 12:0.59145268 13:1.27375624 14:1.03623717 15:1.12290049 16:2.13229654 17:1.11728337 18:1.04332678 19:2.24305389 20:1.88409278 21:2.02655387 22:3.78222775 23:2.03990846 24:1.87991237 25:0.79427173 26:0.39348496 27:0.30781443 28:0.38079916 29:0.32299298 30:0.42764185 31:0.83628533 32:0.57760339 33:0.77333890 34:1.53807989 35:0.76530303 36:0.59145268 37:1.27375624 38:1.03623717 39:1.12290049 40:2.13229654 41:1.11728337 42:1.04332678 43:2.24305389 44:1.88409278 45:2.02655387 46:3.78222775 47:2.03990846 48:1.87991237 49:0.79427173 50:0.39348496 51:0.30781443 52:0.38079916 53:0.32299298 54:0.42764185 55:0.83628533 56:0.57760339 57:0.77333890 58:1.53807989 59:0.76530303 60:0.59145268 61:1.27375624 62:1.03623717 63:1.12290049 64:2.13229654 65:1.11728337 66:1.04332678 67:2.24305389 68:1.88409278 69:2.02655387 70:3.78222775 71:2.03990846 72:1.87991237
1:0.52376306 2:0.29167461 3:0.27547048 4:0.37870584 5:0.27564642 6:0.30692763 7:0.63058660 8:0.50262349 9:0.85883541 10:1.79336630 11:0.85646687 12:0.52040238 13:1.01306568 14:0.96405996 15:1.23488545 16:2.67646295 17:1.20036284 18:0.96203824 19:1.75890947 20:1.76193236 21:2.05855215 22:4.23600323 23:2.05772404 24:1.75106235 25:0.52376306 26:0.29167461 27:0.27547048 28:0.37870584 29:0.27564642 30:0.30692763 31:0.63058660 32:0.50262349 33:0.85883541 34:1.79336630 35:0.85646687 36:0.52040238 37:1.01306568 38:0.96405996 39:1.23488545 40:2.67646295 41:1.20036284 42:0.96203824 43:1.75890947 44:1.76193236 45:2.05855215 46:4.23600323 47:2.05772404 48:1.75106235 49:0.52376306 50:0.29167461 51:0.27547048 52:0.37870584 53:0.27564642 54:0.30692763 55:0.63058660 56:0.50262349 57:0.85883541 58:1.79336630 59:0.85646687 60:0.52040238 61:1.01306568 62:0.96405996 63:1.23488545 64:2.67646295 65:1.20036284 66:0.96203824 67:1.75890947 68:1.76193236 69:2.05855215 70:4.23600323 71:2.05772404 72:1.75106235
1:0.53313673 2:0.29273498 3:0.26505150 4:0.38515826 5:0.27134720 6:0.28712540 7:0.58934574 8:0.46565853 9:0.68657541 10:1.92915534 11:0.70013578 12:0.46048813 13:0.91189923 14:0.86135848 15:1.06375452 16:2.70349638 17:1.06745351 18:0.84256551 19:1.53366107 20:1.57855316 21:1.91505748 22:4.91333558 23:1.91340655 24:1.58025605 25:0.53313673 26:0.29273498 27:0.26505150 28:0.38515826 29:0.27134720 30:0.28712540 31:0.58934574 32:0.46565853 33:0.68657541 34:1.92915534 35:0.70013578 36:0.46048813 37:0.91189923 38:0.86135848 39:1.06375452 40:2.70349638 41:1.06745351 42:0.84256551 43:1.53366107 44:1.57855316 45:1.91505748 46:4.91333558 47:1.91340655 48:1.58025605 49:0.53313673 50:0.29273498 51:0.26505150 52:0.38515826 53:0.27134720 54:0.28712540 55:0.58934574 56:0.46565853 57:0.68657541 58:1.92915534 59:0.70013578 60:0.46048813 61:0.91189923 62:0.86135848 63:1.06375452 64:2.70349638 65:1.06745351 66:0.84256551 67:1.53366107 68:1.57855316 69:1.91505748 70:4.91333558 71:1.91340655 72:1.58025605
1:0.44753727 2:0.31046965 3:0.29324363 4:0.41712900 5:0.29504186 6:0.30353342 7:0.65185234 8:0.58279666 9:0.77129835 10:1.67295201 11:0.77188672 12:0.56256205 13:1.08022875 14:1.03749588 15:1.20896471 16:2.13634316 17:1.20780675 18:1.05735956 19:2.02073806 20:1.97739767 21:2.15964297 22:3.93820717 23:2.16457678 24:1.95767253 25:0.44753727 26:0.31046965 27:0.29324363 28:0.41712900 29:0.29504186 30:0.30353342 31:0.65185234 32:0.58279666 33:0.77129835 34:1.67295201 35:0.77188672 36:0.56256205 37:1.08022875 38:1.03749588 39:1.20896471 40:2.13634316 41:1.20780675 42:1.05735956 43:2.02073806 44:1.97739767 45:2.15964297 46:3.93820717 47:2.16457678 48:1.95767253 49:0.44753727 50:0.31046965 51:0.29324363 52:0.41712900 53:0.29504186 54:0.30353342 55:0.65185234 56:0.58279666 57:0.77129835 58:1.67295201 59:0.77188672 60:0.56256205 61:1.08022875 62:1.03749588 63:1.20896471 64:2.13634316 65:1.20780675 66:1.05735956 67:2.02073806 68:1.97739767 69:2.15964297 70:3.93820717 71:2.16457678 72:1.95767253
1:0.43821594 2:0.29192210 3:0.29048688 4:0.39982657 5:0.28905855 6:0.27333638 7:0.61125392 8:0.52369679 9:0.62467925 10:1.61215155 11:0.63611060 12:0.51946653 13:1.05937173 14:1.02594554 15:1.13008143 16:2.30229145 17:1.11372126 18:1.02114114 19:2.01339564 20:2.01958047 21:2.10217460 22:3.28605454 23:2.07878965 24:2.02642942 25:0.43821594 26:0.29192210 27:0.29048688 28:0.39982657 29:0.28905855 30:0.27333638 31:0.61125392 32:0.52369679 33:0.62467925 34:1.61215155 35:0.63611060 36:0.51946653 37:1.05937173 38:1.02594554 39:1.13008143 40:2.30229145 41:1.11372126 42:1.02114114 43:2.01339564 44:2.01958047 45:2.10217460 46:3.28605454 47:2.07878965 48:2.02642942 49:0.43821594 50:0.29192210 51:0.29048688 52:0.39982657 53:0.28905855 54:0.27333638 55:0.61125392 56:0.52369679 57:0.62467925 58:1.61215155 59:0.63611060 60:0.51946653 61:1.05937173 62:1.02594554 63:1.13008143 64:2.30229145 65:1.11372126 66:1.02114114 67:2.01339564 68:2.01958047 69:2.10217460 70:3.28605454 71:2.07878965 72:2.02642942
1:0.41708512 2:0.28527180 3:0.25977066 4:0.40432969 5:0.26115967 6:0.27851667 7:0.59225479 8:0.50705490 9:0.59884564 10:1.13884059 11:0.59465633 12:0.51272856 13:0.97063723 14:0.99437584 15:1.08857228 16:2.57589156 17:1.07696882 18:0.99995054 19:1.79752314 20:1.81250477 21:1.94872743 22:3.40994270 23:1.96194472 24:1.79816232 25:0.41708512 26:0.28527180 27:0.25977066 28:0.40432969 29:0.26115967 30:0.27851667 31:0.59225479 32:0.50705490 33:0.59884564 34:1.13884059 35:0.59465633 36:0.51272856 37:0.97063723 38:0.99437584 39:1.08857228 40:2.57589156 41:1.07696882 42:0.99995054 43:1.79752314 44:1.81250477 45:1.94872743 46:3.40994270 47:1.96194472 48:1.79816232 49:0.41708512 50:0.28527180 51:0.25977066 52:0.40432969 53:0.26115967 54:0.27851667 55:0.59225479 56:0.50705490 57:0.59884564 58:1.13884059 59:0.59465633 60:0.51272856 61:0.97063723 62:0.99437584 63:1.08857228 64:2.57589156 65:1.07696882 66:0.99995054 67:1.79752314 68:1.81250477 69:1.94872743 70:3.40994270 71:1.96194472 72:1.79816232
1:0.51105461 2:0.20520571 3:0.21437866 4:0.55471187 5:0.21437866 6:0.20520571 7:0.30119329 8:0.07065501 9:0.25672286 10:1.13333712 11:0.25672286 12:0.07065501 13:0.16131654 14:0.04197265 15:0.52161758 16:4.14112499 17:0.52161758 18:0.04197265 19:0.10011902 20:0.05366648 21:1.04775232 22:5.72790833 23:1.04775232 24:0.05366648 25:0.51105461 26:0.20520571 27:0.21437866 28:0.55471187 29:0.21437866 30:0.20520571 31:0.30119329 32:0.07065501 33:0.25672286 34:1.13333712 35:0.25672286 36:0.07065501 37:0.16131654 38:0.04197265 39:0.52161758 40:4.14112499 41:0.52161758 42:0.04197265 43:0.10011902 44:0.05366648 45:1.04775232 46:5.72790833 47:1.04775232 48:0.05366648 49:0.51105461 50:0.20520571 51:0.21437866 52:0.55471187 53:0.21437866 54:0.20520571 55:0.30119329 56:0.07065501 57:0.25672286 58:1.13333712 59:0.25672286 60:0.07065501 61:0.16131654 62:0.04197265 63:0.52161758 64:4.14112499 65:0.52161758 66:0.04197265 67:0.10011902 68:0.05366648 69:1.04775232 70:5.72790833 71:1.04775232 72:0.05366648
