1:1.23103844 2:0.98553158 3:0.90350789 4:1.06468570 5:0.94657366 6:1.01616578 7:1.29754175 8:1.04106649 9:1.02735065 10:1.11566187 11:1.05116698 12:1.09269974 13:1.40781651 14:1.20430004 15:1.17661080 16:1.26143939 17:1.22978093 18:1.29492033 19:1.54865629 20:1.42077094 21:1.39406451 22:1.37860324 23:1.48276034 24:1.52516862 25:1.23103844 26:0.98553158 27:0.90350789 28:1.06468570 29:0.94657366 30:1.01616578 31:1.29754175 32:1.04106649 33:1.02735065 34:1.11566187 35:1.05116698 36:1.09269974 37:1.40781651 38:1.20430004 39:1.17661080 40:1.26143939 41:1.22978093 42:1.29492033 43:1.54865629 44:1.42077094 45:1.39406451 46:1.37860324 47:1.48276034 48:1.52516862 49:1.23103844 50:0.98553158 51:0.90350789 52:1.06468570 53:0.94657366 54:1.01616578 55:1.29754175 56:1.04106649 57:1.02735065 58:1.11566187 59:1.05116698 60:1.09269974 61:1.40781651 62:1.20430004 63:1.17661080 64:1.26143939 65:1.22978093 66:1.29492033 67:1.54865629 68:1.42077094 69:1.39406451 70:1.37860324 71:1.48276034 72:1.52516862
1:0.98131951 2:0.59637045 3:0.55810215 4:0.71961319 5:0.58170487 6:0.76946047 7:0.77166318 8:0.45097240 9:0.38795531 10:0.48054129 11:0.38908132 12:0.59214946 13:0.66520585 14:0.39674660 15:0.34391638 16:0.40031751 17:0.33846146 18:0.54752079 19:0.57428430 20:0.40262722 21:0.36207853 22:0.36590050 23:0.35950469 24:0.51120344 25:0.98131951 26:0.59637045 27:0.55810215 28:0.71961319 29:0.58170487 30:0.76946047 31:0.77166318 32:0.45097240 33:0.38795531 34:0.48054129 35:0.38908132 36:0.59214946 37:0.66520585 38:0.39674660 39:0.34391638 40:0.40031751 41:0.33846146 42:0.54752079 43:0.57428430 44:0.40262722 45:0.36207853 46:0.36590050 47:0.35950469 48:0.51120344 49:0.98131951 50:0.59637045 51:0.55810215 52:0.71961319 53:0.58170487 54:0.76946047 55:0.77166318 56:0.45097240 57:0.38795531 58:0.48054129 59:0.38908132 60:0.59214946 61:0.66520585 62:0.39674660 63:0.34391638 64:0.40031751 65:0.33846146 66:0.54752079 67:0.57428430 68:0.40262722 69:0.36207853 70:0.36590050 71:0.35950469 72:0.51120344
1:1.52520768 2:0.79602795 3:0.37467613 4:0.51092826 5:0.35452905 6:0.43821347 7:1.21419423 8:0.57843184 9:0.30625497 10:0.41954570 11:0.30954855 12:0.38116021 13:1.02933014 14:0.60106164 15:0.40390793 16:0.46260212 17:0.41071349 18:0.45479468 19:1.16126131 20:0.87309303 21:0.67214173 22:0.62821622 23:0.67948481 24:0.78074406 25:1.52520768 26:0.79602795 27:0.37467613 28:0.51092826 29:0.35452905 30:0.43821347 31:1.21419423 32:0.57843184 33:0.30625497 34:0.41954570 35:0.30954855 36:0.38116021 37:1.02933014 38:0.60106164 39:0.40390793 40:0.46260212 41:0.41071349 42:0.45479468 43:1.16126131 44:0.87309303 45:0.67214173 46:0.62821622 47:0.67948481 48:0.78074406 49:1.52520768 50:0.79602795 51:0.37467613 52:0.51092826 53:0.35452905 54:0.43821347 55:1.21419423 56:0.57843184 57:0.30625497 58:0.41954570 59:0.30954855 60:0.38116021 61:1.02933014 62:0.60106164 63:0.40390793 64:0.46260212 65:0.41071349 66:0.45479468 67:1.16126131 68:0.87309303 69:0.67214173 70:0.62821622 71:0.67948481 72:0.78074406
1:1.33644212 2:1.17926113 3:1.10355019 4:1.17928478 5:1.08554756 6:1.12817604 7:1.37611041 8:1.31170001 9:1.24638786 10:1.30612768 11:1.30448880 12:1.30554683 13:1.48670436 14:1.37219651 15:1.33000193 16:1.39251729 17:1.42915176 18:1.48503320 19:1.31427374 20:1.27480434 21:1.23801372 22:1.24387859 23:1.41721219 24:1.48102536 25:1.33644212 26:1.17926113 27:1.10355019 28:1.17928478 29:1.08554756 30:1.12817604 31:1.37611041 32:1.31170001 33:1.24638786 34:1.30612768 35:1.30448880 36:1.30554683 37:1.48670436 38:1.37219651 39:1.33000193 40:1.39251729 41:1.42915176 42:1.48503320 43:1.31427374 44:1.27480434 45:1.23801372 46:1.24387859 47:1.41721219 48:1.48102536 49:1.33644212 50:1.17926113 51:1.10355019 52:1.17928478 53:1.08554756 54:1.12817604 55:1.37611041 56:1.31170001 57:1.24638786 58:1.30612768 59:1.30448880 60:1.30554683 61:1.48670436 62:1.37219651 63:1.33000193 64:1.39251729 65:1.42915176 66:1.48503320 67:1.31427374 68:1.27480434 69:1.23801372 70:1.24387859 71:1.41721219 72:1.48102536
1:1.37527468 2:1.07442978 3:0.97756905 4:1.14538623 5:1.32297884 6:1.29706158 7:1.20421105 8:0.87401370 9:0.81325911 10:0.92259164 11:1.09725653 12:1.10921319 13:1.01853408 14:0.82196077 15:0.76654234 16:0.87103458 17:0.98694154 18:1.02042443 19:0.81876750 20:0.74716086 21:0.72140428 22:0.75083397 23:0.92019996 24:0.90985061 25:1.37527468 26:1.07442978 27:0.97756905 28:1.14538623 29:1.32297884 30:1.29706158 31:1.20421105 32:0.87401370 33:0.81325911 34:0.92259164 35:1.09725653 36:1.10921319 37:1.01853408 38:0.82196077 39:0.76654234 40:0.87103458 41:0.98694154 42:1.02042443 43:0.81876750 44:0.74716086 45:0.72140428 46:0.75083397 47:0.92019996 48:0.90985061 49:1.37527468 50:1.07442978 51:0.97756905 52:1.14538623 53:1.32297884 54:1.29706158 55:1.20421105 56:0.87401370 57:0.81325911 58:0.92259164 59:1.09725653 60:1.10921319 61:1.01853408 62:0.82196077 63:0.76654234 64:0.87103458 65:0.98694154 66:1.02042443 67:0.81876750 68:0.74716086 69:0.72140428 70:0.75083397 71:0.92019996 72:0.90985061
1:1.19589916 2:1.25393499 3:1.26101962 4:1.37900706 5:1.25382710 6:1.10362574 7:1.12971654 8:1.10553860 9:1.21080484 10:1.28529524 11:1.15227065 12:1.12139710 13:0.92399580 14:0.94025026 15:1.00547399 16:1.03182292 17:0.97581400 18:0.91207923 19:0.62137118 20:0.68803713 21:0.72345890 22:0.69704457 23:0.67933315 24:0.64035800 25:1.19589916 26:1.25393499 27:1.26101962 28:1.37900706 29:1.25382710 30:1.10362574 31:1.12971654 32:1.10553860 33:1.21080484 34:1.28529524 35:1.15227065 36:1.12139710 37:0.92399580 38:0.94025026 39:1.00547399 40:1.03182292 41:0.97581400 42:0.91207923 43:0.62137118 44:0.68803713 45:0.72345890 46:0.69704457 47:0.67933315 48:0.64035800 49:1.19589916 50:1.25393499 51:1.26101962 52:1.37900706 53:1.25382710 54:1.10362574 55:1.12971654 56:1.10553860 57:1.21080484 58:1.28529524 59:1.15227065 60:1.12139710 61:0.92399580 62:0.94025026 63:1.00547399 64:1.03182292 65:0.97581400 66:0.91207923 67:0.62137118 68:0.68803713 69:0.72345890 70:0.69704457 71:0.67933315 72:0.64035800
1:0.80740403 2:0.44638243 3:0.48518398 4:0.64724239 5:0.42564961 6:0.58821783 7:0.58160090 8:0.36780760 9:0.38444723 10:0.41569475 11:0.31768523 12:0.41199122 13:0.44944988 14:0.33135669 15:0.30920955 16:0.33616561 17:0.28109116 18:0.32672640 19:0.34774380 20:0.26494654 21:0.23704172 22:0.25266390 23:0.24400949 24:0.28058315 25:0.80740403 26:0.44638243 27:0.48518398 28:0.64724239 29:0.42564961 30:0.58821783 31:0.58160090 32:0.36780760 33:0.38444723 34:0.41569475 35:0.31768523 36:0.41199122 37:0.44944988 38:0.33135669 39:0.30920955 40:0.33616561 41:0.28109116 42:0.32672640 43:0.34774380 44:0.26494654 45:0.23704172 46:0.25266390 47:0.24400949 48:0.28058315 49:0.80740403 50:0.44638243 51:0.48518398 52:0.64724239 53:0.42564961 54:0.58821783 55:0.58160090 56:0.36780760 57:0.38444723 58:0.41569475 59:0.31768523 60:0.41199122 61:0.44944988 62:0.33135669 63:0.30920955 64:0.33616561 65:0.28109116 66:0.32672640 67:0.34774380 68:0.26494654 69:0.23704172 70:0.25266390 71:0.24400949 72:0.28058315
1:1.05604607 2:0.81493833 3:0.87672082 4:1.29180322 5:0.96978837 6:0.92021529 7:1.07792935 8:0.94920538 9:1.02261220 10:1.37288428 11:1.18519833 12:1.09913284 13:1.03924813 14:0.97788145 15:1.11924630 16:1.56573311 17:1.35500245 18:1.11990717 19:0.91257975 20:0.94052378 21:1.09861457 22:1.53467115 23:1.34820245 24:1.04446584 25:1.05604607 26:0.81493833 27:0.87672082 28:1.29180322 29:0.96978837 30:0.92021529 31:1.07792935 32:0.94920538 33:1.02261220 34:1.37288428 35:1.18519833 36:1.09913284 37:1.03924813 38:0.97788145 39:1.11924630 40:1.56573311 41:1.35500245 42:1.11990717 43:0.91257975 44:0.94052378 45:1.09861457 46:1.53467115 47:1.34820245 48:1.04446584 49:1.05604607 50:0.81493833 51:0.87672082 52:1.29180322 53:0.96978837 54:0.92021529 55:1.07792935 56:0.94920538 57:1.02261220 58:1.37288428 59:1.18519833 60:1.09913284 61:1.03924813 62:0.97788145 63:1.11924630 64:1.56573311 65:1.35500245 66:1.11990717 67:0.91257975 68:0.94052378 69:1.09861457 70:1.53467115 71:1.34820245 72:1.04446584
1:1.06840321 2:0.89850750 3:0.70464468 4:0.89680656 5:0.68457670 6:0.71382444 7:0.95128015 8:0.81583434 9:0.68388653 10:0.74940007 11:0.61872372 12:0.66041788 13:0.89818412 14:0.79380388 15:0.67801799 16:0.72180311 17:0.62308160 18:0.68867451 19:0.95350373 20:0.94225567 21:0.85812205 22:0.84472555 23:0.80761951 24:0.86326672 25:1.13128296 26:0.93845079 27:0.69564938 28:0.89893650 29:0.67825229 30:0.67446632 31:0.94253830 32:0.80410502 33:0.66327439 34:0.74934386 35:0.60974694 36:0.62954570 37:0.89590803 38:0.79215637 39:0.66883943 40:0.72009347 41:0.61908980 42:0.67409340 43:0.96716757 44:0.94357711 45:0.83864922 46:0.81787365 47:0.79214740 48:0.86247058 49:1.02373663 50:0.81915979 51:0.59754525 52:0.74434196 53:0.60190815 54:0.65053028 55:0.89230748 56:0.73647216 57:0.58816528 58:0.65297805 59:0.55428478 60:0.61334872 61:0.86756978 62:0.76590012 63:0.64005634 64:0.67123506 65:0.60010848 66:0.67126834 67:0.98373510 68:0.97019579 69:0.86553056 70:0.83448315 71:0.82234683 72:0.89220021
1:0.53750124 2:0.49539164 3:0.39490528 4:0.63455941 5:0.37401222 6:0.28107154 7:0.31250077 8:0.28630165 9:0.25209080 10:0.44702450 11:0.25297314 12:0.18170342 13:0.25951784 14:0.24817437 15:0.20986777 16:0.34171387 17:0.19812116 18:0.16133045 19:0.22884815 20:0.23738420 21:0.22225421 22:0.27396493 23:0.19062170 24:0.17446671 25:0.48575257 26:0.45209494 27:0.34221708 28:0.53729824 29:0.32532000 30:0.24874003 31:0.26937322 32:0.25035190 33:0.20387121 34:0.36365414 35:0.21185219 36:0.15385889 37:0.22605459 38:0.22160775 39:0.17295847 40:0.28286660 41:0.16921149 42:0.13813608 43:0.21622452 44:0.23086280 45:0.21023593 46:0.24891834 47:0.18016936 48:0.16773969 49:0.43517239 50:0.39872939 51:0.29320196 52:0.44975614 53:0.28022932 54:0.21816844 55:0.23904338 56:0.22210438 57:0.17288967 58:0.29973205 59:0.18402251 60:0.13825354 61:0.20500280 62:0.20166017 63:0.15341090 64:0.24759411 65:0.15792680 66:0.13197667 67:0.20737082 68:0.22448594 69:0.20402721 70:0.23493469 71:0.17850277 72:0.16836682
1:1.49250816 2:1.14741157 3:1.44354080 4:1.93183723 5:1.12003870 6:0.95271809 7:0.82612002 8:0.63281510 9:0.89610066 10:1.12321781 11:0.44749724 12:0.37011290 13:0.43920691 14:0.33407771 15:0.44980662 16:0.62865094 17:0.22582597 18:0.18965949 19:0.25638679 20:0.15955220 21:0.21456810 22:0.33733802 23:0.13699639 24:0.11686946 25:1.44039430 26:1.10769961 27:1.39442137 28:1.86406174 29:1.08140154 30:0.91958581 31:0.79819455 32:0.61238780 33:0.86718593 34:1.08513203 35:0.43205501 36:0.35813747 37:0.42430173 38:0.32358219 39:0.43566437 40:0.60754949 41:0.21848280 42:0.18413847 43:0.25053497 44:0.15796799 45:0.21196765 46:0.32937805 47:0.13612549 48:0.11618868 49:1.39944214 50:1.07610518 51:1.35412526 52:1.80996401 53:1.05010927 54:0.89304851 55:0.77555576 56:0.59575370 57:0.84232375 58:1.05370596 59:0.42027470 60:0.34838010 61:0.41302556 62:0.31591110 63:0.42560097 64:0.59147042 65:0.21386193 66:0.17989176 67:0.24509681 68:0.15603085 69:0.20994160 70:0.32378977 71:0.13474962 72:0.11465625
