1:1.21018261 2:0.97494529 3:0.89204497 4:1.06087995 5:0.95407576 6:1.01882576 7:1.29455593 8:1.03302235 9:1.03151118 10:1.11488294 11:1.05522238 12:1.08176848 13:1.41920439 14:1.20534918 15:1.17709541 16:1.27629986 17:1.23853880 18:1.30323639 19:1.57382201 20:1.43504519 21:1.40771103 22:1.40347998 23:1.49179099 24:1.53805657
1:1.00322994 2:0.61886187 3:0.56344401 4:0.70570778 5:0.58536881 6:0.78816121 7:0.78462786 8:0.45487380 9:0.39262935 10:0.48646044 11:0.39427700 12:0.60326935 13:0.67346886 14:0.40275698 15:0.34891658 16:0.41232511 17:0.34544835 18:0.55110090 19:0.59314115 20:0.40973409 21:0.36874621 22:0.37837503 23:0.36516995 24:0.51841844
1:1.53200707 2:0.79769189 3:0.37077563 4:0.47316982 5:0.35089600 6:0.44516050 7:1.24037604 8:0.59018532 9:0.31605823 10:0.43131201 11:0.31358451 12:0.38735454 13:1.04704130 14:0.60688353 15:0.40685978 16:0.46506436 17:0.41117845 18:0.46120832 19:1.16686105 20:0.87158875 21:0.67420230 22:0.63664500 23:0.68046197 24:0.78017025
1:1.30403486 2:1.17377711 3:1.09586438 4:1.17090663 5:1.07766905 6:1.12729876 7:1.36947858 8:1.31373234 9:1.24664205 10:1.29953647 11:1.28487566 12:1.28816736 13:1.48540189 14:1.37991602 15:1.34610480 16:1.40654532 17:1.42856321 18:1.47570860 19:1.35903880 20:1.30345543 21:1.27225312 22:1.29466985 23:1.43723599 24:1.49046592
1:1.38189404 2:1.09008967 3:0.98878738 4:1.13135654 5:1.34100593 6:1.29214404 7:1.22773014 8:0.89623983 9:0.81325682 10:0.93514439 11:1.09937446 12:1.12682232 13:1.02820196 14:0.82767226 15:0.77353551 16:0.87708338 17:0.99012956 18:1.02836559 19:0.85316281 20:0.77053335 21:0.74171912 22:0.77733841 23:0.92716518 24:0.92593380
1:1.21518083 2:1.26990967 3:1.25259534 4:1.33456095 5:1.24924268 6:1.11384187 7:1.13921319 8:1.11738899 9:1.22012212 10:1.29714783 11:1.16211805 12:1.13667988 13:0.94757289 14:0.95431736 15:1.02580575 16:1.05254099 17:0.99476127 18:0.94343743 19:0.65860852 20:0.70797475 21:0.74460594 22:0.73233078 23:0.70333923 24:0.66898091
1:0.83016622 2:0.45324495 3:0.47772056 4:0.61291727 5:0.42409439 6:0.60869174 7:0.59122401 8:0.37239606 9:0.38678817 10:0.42870141 11:0.32612274 12:0.42011767 13:0.46206285 14:0.33391490 15:0.31587784 16:0.34445647 17:0.28408783 18:0.33170018 19:0.36415707 20:0.27486426 21:0.24606819 22:0.26463003 23:0.25117806 24:0.29030910
1:1.00970532 2:0.79638863 3:0.86588522 4:1.28883282 5:0.95744129 6:0.91076175 7:1.09361506 8:0.95591984 9:1.02686233 10:1.37802200 11:1.18850709 12:1.09754255 13:1.05122621 14:0.98569405 15:1.13282157 16:1.56596306 17:1.36127920 18:1.13587283 19:0.94672744 20:0.96225045 21:1.12765793 22:1.56326755 23:1.36179775 24:1.06505696
1:1.07575383 2:0.89807543 3:0.67010707 4:0.82961333 5:0.64543002 6:0.66390995 7:0.91536529 8:0.78423531 9:0.65730036 10:0.74146190 11:0.60012487 12:0.62274470 13:0.86381671 14:0.76570695 15:0.65202259 16:0.70616460 17:0.61053885 18:0.66435827 19:0.94653453 20:0.91762499 21:0.82052306 22:0.81242870 23:0.77690722 24:0.84029226
1:0.47885899 2:0.46048044 3:0.35839260 4:0.56126807 5:0.33494952 6:0.25239540 7:0.28337974 8:0.25803582 9:0.21645724 10:0.38193708 11:0.22109993 12:0.16121877 13:0.23043871 14:0.22296155 15:0.18098889 16:0.29719907 17:0.17515830 18:0.14269982 19:0.21932805 20:0.23048879 21:0.21097153 22:0.25753997 23:0.18482987 24:0.17123500
1:1.44701960 2:1.11332789 3:1.40139761 4:1.87251203 5:1.08654021 6:0.92401951 7:0.80182381 8:0.61604631 9:0.87210810 10:1.09031641 11:0.43452479 12:0.36003843 13:0.42623483 14:0.32551127 15:0.43832211 16:0.61066725 17:0.21978910 18:0.18503682 19:0.25114899 20:0.15820183 21:0.21271379 22:0.33045883 23:0.13609595 24:0.11622676
1:0.40025429 2:0.29220837 3:0.41829080 4:0.47872661 5:0.31586846 6:0.34740035 7:0.28513072 8:0.22382487 9:0.28322380 10:0.28584886 11:0.21103570 12:0.23257186 13:0.20161414 14:0.16260567 15:0.21294235 16:0.20298594 17:0.14970181 18:0.17828334 19:0.16062096 20:0.14710026 21:0.17794592 22:0.16126230 23:0.13747453 24:0.14492501
1:0.47980141 2:0.46551303 3:0.40654293 4:0.79582990 5:0.40440601 6:0.30801597 7:0.32409778 8:0.30979841 9:0.25854477 10:0.56115562 11:0.25376002 12:0.21474797 13:0.28319522 14:0.25506786 15:0.21295970 16:0.42897317 17:0.20804645 18:0.19661151 19:0.26966159 20:0.25770334 21:0.23673547 22:0.34360062 23:0.21621124 24:0.20835212
